id,owner_id,post_time,post_text,comments.count
4942354,-26284064,1675188534,"Страны ЕС готовят ответ на Акт о снижении инфляции в США. Закон предоставляет щедрые субсидии производителям электромобилей, аккумуляторов и энергетического оборудования при условии, что они выпущены в Соединенных Штатах. По мнению европейских лидеров, Акт может привести к торговой войне. Подробнее — в нашем видео.

Видео: ТАСС/Ruptly/Reuters",21
4941658,-26284064,1675171815,"Итоговая инфляция в России и мире за 2022 год.

Международный валютный фонд спрогнозировал снижение мировой инфляции с 8,8% до 6,6% в 2023 году, а в 2024 году — до 4,3%. Об этом говорится в опубликованном январском обновлении к докладу МВФ о перспективах развития мировой экономики.

Ожидается, что в 2023 году в 84% стран инфляция (рост индекса потребительских цен) будет ниже, чем в 2022 году. Об инфляции в России и мире по итогам прошлого года — в нашей инфографике.

#ТАСС_Инфографика",1
4932251,-26284064,1674837907,"Главные темы дня:

▪Послу Латвии в Москве предписано покинуть РФ в течение двух недель:
https://vk.cc/cl76vi

▪Во Внуково вертолет повредил винт при посадке:
https://vk.cc/cl6Fa4

▪Роскомнадзор заблокировал сайты ЦРУ и ФБР за распространение фейков:
https://vk.cc/cl7bhu

▪ЕС продлил на полгода все санкции против России по Украине:
https://vk.cc/cl6Yfa

▪МО РФ заявило о срыве перевозки Украиной вооружений, в том числе поставленных НАТО:
https://vk.cc/cl6HQK

▪Путин поручил повышать МРОТ в 2023 году выше уровня инфляции:
https://vk.cc/cl723c

▪Российский и американский взгляд на ЧВК ""Вагнер"", возможности США в урегулировании конфликта на Украине, японские санкции и ужесточение Казахстаном миграционного законодательства стали основными темами брифинга Пескова. Собрали ключевые заявления представителя Кремля:
https://vk.cc/cl6yrZ

▪В ДНР сообщили, что силы РФ закрепились на востоке и юго-востоке Угледара:
https://vk.cc/cl6vbZ

▪Новые регионы перейдут на московское время:
https://vk.cc/cl6Hmg

▪Экс-схимонаха Сергия приговорили к 5,5 года колонии по второму уголовному делу:
https://vk.cc/cl7bKI

▪Промышленность Ленинграда продолжала работать и развиваться даже во время блокады. Одно из крупнейших предприятий — завод ""Электросила"" — производило вооружение, снаряжение, профильную продукцию, электрооборудование несмотря на то, что основное число работников ушли на фронт или в ополчение. Рассказываем о судьбе одного из старейших заводов Ленинграда:
https://vk.cc/cl7bLA",6
4932031,-26284064,1674832215,"Путин поручил повышать МРОТ в 2023 году выше уровня инфляции. Доклад по этому вопросу должен быть представлен до 1 июля:
https://vk.cc/cl723c",28
4924109,-26284064,1674586903,"Всемирный банк прогнозирует замедление роста мировой экономики в 2023–2024 годах. Это связано с высоким уровнем инфляции. По оценке Международного валютного фонда, ее показатели достигли пика. Подробнее — в нашем видео.

Видео: Александр Щербак/ТАСС/Ruptly/Reuters",7
4908160,-26284064,1674060313,"Зима для Великобритании выдалась жаркой: стремительное ухудшение ситуации в экономике заставляет граждан протестовать и устраивать забастовки. Среди бастующих есть и сотрудники медицинской отрасли, что нанесло серьезный ущерб сфере здравоохранения страны. Помимо них бастуют преподаватели, железнодорожники, работники почты — они требуют увеличения зарплат в соответствии с инфляцией. Но правительство непреклонно: такой возможности нет. О борьбе общественности и политических элит — в нашем материале:
https://vk.cc/ckOAcQ",8
4905127,-26284064,1673959885,"Уровень инфляции в РФ в первом квартале текущего года может снизиться до 5%, во втором — ниже 4%. Об этом заявил Владимир Путин на совещании по экономике:
https://vk.cc/ckLWpn

Видео: ТАСС/Ruptly",35
4904981,-26284064,1673955913,"Собрали главные новости по ситуации на Украине и вокруг нее к этому часу:

▪Житель одной из стран СНГ задержан на границе России и Грузии за причастие к шпионажу в пользу Украины. Об этом сообщили в пресс-службе УФСБ по Северной Осетии:
https://vk.cc/ckLPbG

▪ЕС перевел Украине первый транш на €3 млрд в рамках программы кредитной помощи на 2023 год:
https://vk.cc/ckLPbI

▪ВСУ готовятся устанавливать бункеры в Запорожье, заявил Рогов:
https://vk.cc/ckLPbK

▪На Херсонщине сообщили о гибели двух человек и ранении ребенка при обстреле Каховки ВСУ:
https://vk.cc/ckLPbM

▪Рогов сообщил о демонтаже бюста Пушкина в Запорожье:
https://vk.cc/ckLPbO

▪Минтруд разработал законопроект о выплате пенсий в новых регионах:
https://vk.cc/ckLPbQ

▪В мире сохранится высокая инфляция из-за событий на Украине, сообщило агентство Bloomberg:
https://vk.cc/ckLPbS

▪США выбрали Украину в качестве плацдарма для ослабления Европы, заявил Володин:
https://vk.cc/ckLPbV

▪Медведев назвал позором обсуждение в Давосе поставок танков Киеву, а не экономики:
https://vk.cc/ckLPbX

▪Пресс-служба Пригожина сообщила о гибели бойца Французского иностранного легиона в ДНР:
https://tass.ru/proisshestviya/16816575?utm_source=vk.com&utm_medium=social&utm_campaign=smm_social_share",9
4859049,-26284064,1672475155,"Вспоминаем главные события 2022 года. В их число вошли Олимпийские игры в Пекине, признание ДНР и ЛНР, санкции, инфляция, протесты, мировая засуха и зерновая сделка. Подробнее — в нашем видео.

Видео: ТАСС/Ruptly/Reuters",4
4858181,-26284064,1672418714,"Планы США по субсидированию американских компаний в рамках Акта о снижении инфляции могут привести к сближению Евросоюза с Китаем, предупредил замглавы Еврокомиссии Валдис Домбровскис, слова которого приводит газета Financial Times:
https://vk.cc/ckh54D",0
4854553,-26284064,1672308029,"Инфляция в России по итогам года будет порядка 12%. Об этом в эфире телеканала ""Россия-24"" заявил министр финансов РФ Антон Силуанов:
https://vk.cc/ckdSPz",52
4847484,-26284064,1672093819,"Банк России будет повышать ключевую ставку, если это потребуется для того, чтобы стабилизировать инфляцию на цели 4% к 2024 году, заявил заместитель председателя регулятора Алексей Заботки:
https://vk.cc/ck8ex2",0
4841810,-26284064,1671904814,"Россия смогла в 2022 году удержать рост цен на топливо: бензин при инфляции в 11,1% подорожал всего на 0,6%, дизель - на 8,4%. В 2023 году Россия намерена не допустить рост цен выше инфляции, сообщил вице-премьер России Александр Новак:
https://vk.cc/ck49Xv",20
4840381,-26284064,1671849014,"Правительство Великобритании намерено увеличить размер военного бюджета на фоне конфликта на Украине, чтобы не допустить сокращения реального уровня капиталовложений в сферу обороны из-за высокой инфляции, сообщила газета The Daily Telegraph:
https://vk.cc/ck2LK7",2
4821272,-26284064,1671196212,"Показатели годовой инфляции в Российской Федерации в ближайшие месяцы будут сокращаться, заявила глава ЦБ РФ Эльвира Набиуллина на пресс-конференции по итогам заседания совета директоров регулятора:
http://go.tass.ru/jxxJY

Видео: ТАСС/Ruptly",5
4820974,-26284064,1671188146,"ЦБ РФ в очередной раз принял решение сохранить ключевую ставку на уровне 7,5% годовых.

Регулятор примет дальнейшие решения по ключевой ставке с учетом динамики инфляции и структурной перестройки экономики:
http://go.tass.ru/jxxqb

#ТАСС_Инфографика",2
4800947,-26284064,1670580366,"В России очевидный тренд на снижение инфляции, сообщил Путин:
http://go.tass.ru/jxn1l

Видео: ТАСС/Ruptly",8
4793749,-26284064,1670337000,"В Великобритании продовольственная инфляция достигла рекордных 12%. Рост цен вызвала вспышка птичьего гриппа. Из-за него в королевстве возникла нехватка яиц, они подорожали на 20%. В Венгрии ввели каникулы для госучреждений с 22 декабря по 6 января. Это сделано для экономии тепла и электроэнергии. Подробнее о ситуации с инфляцией - в нашем видео. 

Видео: ТАСС/Ruptly/Reuters",18
4790963,-26284064,1670245236,"Владимир Путин подписал закон, устанавливающий прожиточный минимум в 2023 году в РФ на уровне 14 375 рублей.

В 2023 году величина прожиточного минимума в целом по России на душу населения устанавливается, с учетом высокой прогнозируемой инфляции, в размере 14 375 рублей, для трудоспособного населения — 15 669 рублей, для пенсионеров — 12 363 рубля, для детей — 13 944 рубля: 
http://go.tass.ru/jxlYb",36
4789426,-26284064,1670168719,"Глава Еврокомиссии Урсула фон дер Ляйен предупредила об угрозе начала новой торговой войны ЕС с США из-за американского закона о снижении инфляции. Об этом она заявила, выступая в Колледже Европы в Брюгге. 

По ее словам, эта война — не в интересах ни США, ни Европы, и в Брюсселе готовы принимать ответные меры для защиты европейской экономики:
http://go.tass.ru/jxpJp",21
4778641,-26284064,1669801508,"Силуанов заявил, что Минфин контролирует инфляцию. По словам главы ведомства, госзаимствования на рынке не оказывают влияния на рост и динамику изменения цен:
http://go.tass.ru/jxmCr",40
4726912,-26284064,1668118537,"Джо Байден заявил, что стране потребуется время для того, чтобы вернуть показатели инфляции к нормальному уровню, решение этой проблемы является приоритетом для американской администрации:
http://go.tass.ru/jG54O",2
4725899,-26284064,1668092470,"Инфляция в Еврозоне в октябре достигла 10,7%, побив предыдущий рекорд. Рост цен на энергоресурсы — основная причина ускорения инфляции, сообщил Евростат. 

В США повышение уровня цен достигло максимума за последние 40 лет. Подробнее, смотрите в нашем репортаже. 

Видео: Видео: Вениамин Демидецкий/ТАСС/Ruptly/Reuters",9
4718710,-26284064,1667925911,"9 ноября Америка встретит с полностью обновившейся Палатой представителей — от решений ее комитета по международной политике зависит курс Белого дома за рубежом.

39% общественного одобрения, рост инфляции на 8% и перевес всего в 8 кресел, который требуется отстоять на предстоящих выборах. Такова трудная арифметика для партии демократов и президента Джо Байдена поздней осенью 2022 года. От сегодняшнего голосования зависит, насколько свободно будет чувствовать себя Белый дом не только внутри страны, но и на международной арене:
http://go.tass.ru/jGoXH",9
4698191,-26284064,1667304316,"Инфляция в России за полгода, с апреля по октябрь, снизилась, заявил премьер-министр Михаил Мишустин на заседании Совета глав правительств ШОС. К концу октября инфляция в России составила 13%, отметил премьер-министр:
http://go.tass.ru/jGXT2

Видео: ТАСС/Ruptly",6
4686110,-26284064,1666966512,"Частичная мобилизация будет сдерживающим фактором для динамики потребительского спроса и инфляции в РФ в ближайшие месяцы, следует из пресс-релиза Банка России

Регулятор также уточнил прогноз по инфляции в России на конец 2022 года до 12-13% с 11-13%, при этом сохранив прогноз на 2023 и 2024 годы:
http://go.tass.ru/jG29a",15
4684550,-26284064,1666931426,"Олаф Шольц и Эмманюэль Макрон стремятся договориться с США относительно реализации американского закона о снижении инфляции, но при неудачном исходе переговоров рассматривают вариант ответных мер, пишет газета Politico:
http://go.tass.ru/jGHQg",12
4665102,-26284064,1666370710,"Инфляция растет по всему миру. По мнению МВФ, к 2026 году экономики потеряют 4 трлн долларов совокупного ВВП. Пик инфляции ожидается на конец текущего года.

Подробнее — в нашем репортаже.

Видео: ТАСС/Ruptly/Reuters",7
4640629,-26284064,1665645307,"UPD: ""Мегафон"" заявил, что находится в тесном контакте с ФАС по поводу дела о повышении тарифов. Оператор заранее проинформировал службу об изменении стоимости тарифов:
https://vk.cc/choBEN

ФАС возбудила дело в отношении ""Мегафона"" в связи с повышением тарифов. Служба установила, что уровень изменения тарифов не соответствовал уровню инфляции с начала 2022 года:
http://go.tass.ru/jGAh7",12
4628370,-26284064,1665289847,"Дональд Трамп считает, что инфляция в США продолжит существенно расти:
http://go.tass.ru/jGrAF",9
4620496,-26284064,1665074791,"Главные темы дня:

▪️ Инфляция в России продолжает снижаться, заявил президент РФ Владимир Путин на совещании по экономическим вопросам. Собрали основные заявления главы государства:
http://go.tass.ru/jGOfy

▪️ Евросоюз утвердил восьмой пакет санкций против России:
http://go.tass.ru/jGOfh

▪️ Опубликован указ Путина об отсрочке для студентов и аспирантов от мобилизации:
http://go.tass.ru/jGOfv

▪️ Евросоюз ввел санкции против 30 физических и 7 юридических лиц России:
http://go.tass.ru/jGOfg

▪️ Мишустин ожидает, что экономика России вернется к росту ""чуть больше, чем через год"":
http://go.tass.ru/jGOfE

▪️ Минобороны сообщило об освобождении населенного пункта Зайцево в ДНР:
http://go.tass.ru/jGOfV

▪️ Россия готова остановить военные действия в ходе спецоперации на Украине на предложенных Москвой условиях, заявила Матвиенко:
http://go.tass.ru/jGOf9

▪️ Норвегия ограничит проход российских рыболовных судов в свои порты:
http://go.tass.ru/jGOf4

▪️ Полиция безопасности Швеции сообщила о значительном ущербе ""Северным потокам"" после взрыва:
http://go.tass.ru/jGOfR

▪️ Владимиру Кара-Мурзе (признан в РФ иноагентом) предъявили обвинение в госизмене:
http://go.tass.ru/jGOfU

▪️ Тренера Татьяну Тарасову госпитализировали:
http://go.tass.ru/jGOfd

▪️ Решение ОПЕК+ сократить добычу нефти, публикация The New York Times про убийство журналистки Дарьи Дугиной и заявления Илона Маска — собрали ключевые заявления пресс-секретаря российского лидера Дмитрия Пескова:
http://go.tass.ru/jGOfO

▪️ МИД Казахстана сообщил о ""жестком разговоре"" с российским послом:
http://go.tass.ru/jGOfr

▪️ На Запорожье рассказали, что спецназ ВСУ при участии Великобритании готовят к захвату ЗАЭС:
http://go.tass.ru/jGOfS

▪️ Нобелевскую премию по литературе получила французская писательница Анни Эрно:
http://go.tass.ru/jGOfN

▪️ Роскомнадзор заблокировал доступ к сайту онлайн-платформы ""Эхо"":
http://go.tass.ru/jGOfA

▪️Тетя Молли ""Гарри Поттера"" и Сэм Гэмджи из ""Властелина колец"" — эти образы воплощают архетип Заботливый. У заботы множество проявлений: это эмпатия, милосердие и альтруистичность, c одной стороны, а, с другой — удушающая опека, которая вредна как и для самого опекуна, так и для его подопечного. Есть ли разумные пределы у заботы? Как нужно ее выражать, с одной стороны, не нарушая личные границы подопечного, а с другой — сохраняя себя? Слушайте в новом выпуске подкаста ""12 друзей Юнга"": 
http://go.tass.ru/jGOfq",10
4619554,-26284064,1665057973,"Инфляция в России продолжает снижаться, а на прошлой неделе она опустилась до 13,5%. Многие сектора экономики, например промышленность, сельское хозяйство и другие, постепенно восстанавливаются. При этом властям необходимо обеспечить дальнейшее устойчивое восстановление макроэкономической динамики и обратить внимание на слабый потребительский спрос.

Собрали основные заявления Владимира Путина на совещании по экономическим вопросам:
http://go.tass.ru/jGOjf",22
4619391,-26284064,1665054952,"Уровень инфляции в России снизился до 13,5% в годовом выражении, в ряде европейских стран этот показатель выше, заявил президент РФ Владимир Путин на совещании по экономике:
http://go.tass.ru/jGd6x

Видео: ТАСС/Ruptly",10
4560104,-26284064,1663612211,"В Европе повышение инфляции угрожает рецессией в 2023 году. Это означает, что темпы роста экономики замедлятся. В августе инфляция в еврозоне достигла 9,1% – это рекордный показатель. Госдолг зоны евро достиг 97% суммарного ВВП. Еврокомиссия предложит ввести единую схему налогов для бизнеса в Европе. Подробнее – в нашем видео.

Видео: ТАСС/Ruptly/Reuters",4
4545769,-26284064,1663131664,"Главное к этому часу:

▪ Страны ОДКБ договорились направить в Армению миссию во главе с генсеком:
http://go.tass.ru/jGekk

▪ Путин обсудил в телефонном разговоре с канцлером ФРГ Олафом Шольцем обеспечение безопасности ЗАЭС:
http://go.tass.ru/jGeke

▪ МИД Венгрии допустил пересмотр ЕС осенью антироссийских санкций:
http://go.tass.ru/jGek7

▪ В Москве вновь задержали Гозмана, включенного в реестр СМИ-иноагентов:
http://go.tass.ru/jGekP

▪ Минэкономразвития обновило критерии получения вида на жительство в РФ за инвестиции:
http://go.tass.ru/jGeky

▪ Байден полагает, что Украина добилась значительного прогресса:
http://go.tass.ru/jGekh

▪ РКН сообщил об утечке в сеть более 230 млн записей с личной информацией россиян:
http://go.tass.ru/jGekv

▪ Посольство РФ указало, что инфляцию в Канаде вызвали санкции против России:
http://go.tass.ru/jGekg

▪ Москалькова попросит Мишустина о регистрации эвакуированных граждан по месту нахождения:
http://go.tass.ru/jGekE",3
4545584,-26284064,1663120928,"Власти Канады пытаются переложить ответственность на Россию за рост инфляции в североамериканской стране, забывая, что она вызвана введенными Оттавой антироссийскими санкциями, говорится в заявлении посольства РФ в Канаде:
http://go.tass.ru/jGefq",16
4542467,-26284064,1663004189,"Главные темы дня:

▪Действующие главы регионов и временно исполняющие обязанности губернаторов лидируют на всех прошедших в России выборах руководителей субъектов Федерации, следует из данных ЦИК. Собрали основное о состоявшихся выборах:
http://go.tass.ru/jGkSR

▪ФСБ пресекла теракты СБУ против госслужащих Херсонской области и Крыма:
http://go.tass.ru/jGkSU

▪Инфляция в стране по итогам года составит около 12%, заявил Владимир Путин на совещании по экономическим вопросам. Собрали основные заявления президента РФ:
http://go.tass.ru/jGkSd

▪Кадыров сообщил о возвращении в зону СВО элитных спецподразделений из Чечни:
http://go.tass.ru/jGkSO

▪США предоставляют Киеву данные о критически важных объектах ЗАЭС, заявил Патрушев:
http://go.tass.ru/jGkSr

▪Имеющим трех и более детей гражданам могут дать право поступить в мобилизационный резерв:
http://go.tass.ru/jGkSS

▪Убийство замглавы Новой Каховки Виталия Гуры оказалось инсценировкой ФСБ РФ, сообщают СМИ:
http://go.tass.ru/jGkSN

▪Суд в Челябинске запретил движение ""Народная самооборона"", признав его террористическим:
http://go.tass.ru/jGkSA

▪Историю спецоперации на Украине включили в школьную программу:
http://go.tass.ru/jGkSq

▪Названа стоимость проезда по первому участку нулевого этапа трассы М-12. Как сообщил ""Единый оператор"", она составит 89 рублей:
http://go.tass.ru/jGkSs

▪VK и ""Яндекс"" закрыли сделку по обмену активами:
http://go.tass.ru/jGkSi",1
4541819,-26284064,1662985838,"Комплекс защитных мер позволил не допустить резкого спада экономики РФ и быстро стабилизировать инфляцию, которая по итогам 2022 года составит около 12%, заявил Владимир Путин на совещании по экономическим вопросам.

Собрали основные заявления Путина: 
http://go.tass.ru/jGkhq",5
4529072,-26284064,1662565528,"Рост цен на продовольствие в странах Старого Света бьет рекорды: 5% в Великобритании, 7,7% во Франции, 11,5% в еврозоне в целом. Засуха, пик которой давно пройден, осенью продолжает жечь по-прежнему — в виде инфляции. 

Время, выбранное для экономической войны против России, нельзя признать удачным. Взрывной рост цен на газ наряду с недопроизводством сельскохозяйственных товаров воздействуют на Европу и подтачивают ее экономический рост.

Подробнее, читайте в нашем материале: 
http://go.tass.ru/jGxMj",21
4527677,-26284064,1662531641,"Инфляция в России идет на снижение, по результатам года будет около 12%, заявил Владимир Путин:
http://go.tass.ru/jGxAv

#ВЭФ2022",17
4509917,-26284064,1661784309,"Правительство по итогам года ожидает инфляцию на уровне 12-13%. Первый вице-премьер отметил, что до конца года дефляционные процессы могут смениться ""некоторым повышением цен в пределах таргета"":
https://vk.cc/cg9aXy",10
4487080,-26284064,1660842014,"Уровень инфляции во Франции в июле превысил 6%, в Польше поднялся до 15,6%. В Великобритании инфляция выросла до 10,1% — это максимум за последние 40 лет. Подробнее о рекордах инфляции в Америке и еврозоне — в нашем видео.

Видео: ТАСС/Ruptly/Reuters",11
4483707,-26284064,1660712459,"Главные новости к этому часу:

▪ Минэкономразвития ожидает инфляции в РФ в 13,4% в 2022 году и снижения ВВП до 4,2%:
http://go.tass.ru/jG8BS

▪ Япония в июле возобновила импорт нефти из России:
http://go.tass.ru/jG8BN

▪ В МИД РФ назвали очередным вбросом статью The Wall Street Journal о воровстве энергии с Запорожской АЭС:
http://go.tass.ru/jG8BA

▪ В Белоруссии ввели плату за въезд в зону ожидания на пограничных пунктах пропуска:
http://go.tass.ru/jG8Bq

▪ Великобритания в условиях энергетического кризиса импортирует сжиженный природный газ из Австралии, сообщает Bloomberg: 
http://go.tass.ru/jG8Bs

▪ Несколько японских компаний получили уведомления о переводе ""Сахалина-2"" новому оператору:
http://go.tass.ru/jG8Bi

▪ Стоимость ремонта жилья в России за год выросла на 30%, пишут ""Известия"":
http://go.tass.ru/jG8BD

▪ Байден подписал пакет инициатив на $430 млрд, направленных на борьбу с инфляцией в стране:
http://go.tass.ru/jG8Bu

▪ Газета The New York Times сообщила о призыве стран Запада признать российские алмазы ""конфликтными"":
http://go.tass.ru/jG8BJ

▪ Эксперт назвал симптомы новых видов ""омикрона"":
http://go.tass.ru/jG8B0

▪Маск опроверг сообщение о покупке ""Манчестер Юнайтед"":
https://vk.cc/cfQI2B",6
4483414,-26284064,1660691707,"Джо Байден подписал одобренный ранее Конгрессом пакет мер, направленных на снижение инфляции в стране и предусматривающих выделение $430 млрд, в том числе на инициативы в сфере здравоохранения и борьбы с изменением климата:
http://go.tass.ru/jG81a",8
4475651,-26284064,1660343409,"Палата представителей Конгресса США одобрила пакет инициатив, которые направлены на снижение инфляции и предусматривают выделение властями $430 млрд:
http://go.tass.ru/jnQQZ",4
